signal_id,failure_mode_id,weight,rule_type,threshold_count,notes
S152,FM082,0.7,contributing,,
S153,FM087,0.8,contributing,,
S153,FM086,0.7,contributing,,
S154,FM086,0.8,contributing,,
S154,FM065,0.7,contributing,,
S155,FM088,0.8,contributing,,
S155,FM091,0.7,contributing,,
S156,FM088,0.8,contributing,,
S156,FM091,0.7,contributing,,
S157,FM089,0.8,contributing,,
S157,FM086,0.7,contributing,,
S158,FM087,0.8,contributing,,
S158,FM086,0.7,contributing,,
S159,FM090,0.8,contributing,,
S159,FM037,0.7,contributing,,
S160,FM088,0.8,contributing,,
S160,FM059,0.7,contributing,,
S161,FM089,0.8,contributing,,
S161,FM072,0.7,contributing,,
S162,FM091,0.8,contributing,,
S162,FM088,0.7,contributing,,
S163,FM086,0.8,contributing,,
S163,FM090,0.7,contributing,,
S164,FM091,0.8,contributing,,
S164,FM088,0.7,contributing,,
S165,FM092,0.8,contributing,,
S165,FM093,0.7,contributing,,
S166,FM093,0.8,contributing,,
S166,FM092,0.7,contributing,,
S167,FM093,0.8,contributing,,
S167,FM101,0.7,contributing,,
S168,FM094,0.8,contributing,,
S168,FM036,0.7,contributing,,
S169,FM092,0.8,contributing,,
S169,FM093,0.7,contributing,,
S170,FM095,0.8,contributing,,
S170,FM056,0.7,contributing,,
S171,FM096,0.8,contributing,,
S171,FM094,0.7,contributing,,
S172,FM096,0.8,contributing,,
S172,FM074,0.7,contributing,,
S173,FM036,0.7,contributing,,
S173,FM093,0.8,contributing,,
S174,FM092,0.8,contributing,,
S174,FM093,0.7,contributing,,
S175,FM097,0.8,contributing,,
S175,FM059,0.7,contributing,,
S176,FM068,0.8,contributing,,
S176,FM097,0.7,contributing,,
S177,FM044,0.8,contributing,,
S177,FM097,0.7,contributing,,
S178,FM097,0.8,contributing,,
S178,FM040,0.7,contributing,,
S179,FM048,0.8,contributing,,
S179,FM097,0.7,contributing,,
S180,FM045,0.8,contributing,,
S180,FM097,0.7,contributing,,
S181,FM043,0.8,contributing,,
S181,FM097,0.7,contributing,,
S182,FM001,0.8,contributing,,
S182,FM097,0.7,contributing,,
S183,FM005,0.8,contributing,,
S183,FM097,0.7,contributing,,
S184,FM068,0.8,contributing,,
S184,FM097,0.7,contributing,,
S185,FM098,0.8,contributing,,
S185,FM097,0.7,contributing,,
S186,FM100,0.8,contributing,,
S186,FM098,0.7,contributing,,
S187,FM029,0.7,contributing,,
S187,FM034,0.8,contributing,,
S188,FM085,0.8,contributing,,
S188,FM098,0.7,contributing,,
S189,FM098,0.8,contributing,,
S189,FM065,0.7,contributing,,
S190,FM099,0.8,contributing,,
S190,FM098,0.7,contributing,,
S191,FM100,0.8,contributing,,
S191,FM098,0.7,contributing,,
S192,FM058,0.7,contributing,,
S192,FM098,0.8,contributing,,
S193,FM101,0.8,contributing,,
S193,FM098,0.7,contributing,,
S194,FM101,0.8,contributing,,
S194,FM029,0.7,contributing,,
S195,FM099,0.8,contributing,,
S195,FM100,0.7,contributing,,
S196,FM098,0.8,contributing,,
S196,FM094,0.7,contributing,,
S197,FM102,0.8,contributing,,
S197,FM072,0.7,contributing,,
S198,FM103,0.8,contributing,,
S198,FM102,0.7,contributing,,
S199,FM104,0.8,contributing,,
S199,FM062,0.7,contributing,,
S200,FM105,0.8,contributing,,
S200,FM087,0.7,contributing,,
S201,FM106,0.8,contributing,,
S201,FM103,0.7,contributing,,
S202,FM107,0.8,contributing,,
S202,FM102,0.7,contributing,,
S203,FM108,0.8,contributing,,
S203,FM054,0.7,contributing,,
S204,FM108,0.8,contributing,,
S204,FM103,0.7,contributing,,
S205,FM088,0.8,contributing,,
S205,FM091,0.7,contributing,,
S206,FM031,0.7,contributing,,
S206,FM091,0.8,contributing,,
S207,FM015,0.7,contributing,,
S207,FM084,0.8,contributing,,
S208,FM088,0.8,contributing,,
S208,FM091,0.7,contributing,,
S209,FM074,0.7,contributing,,
S209,FM091,0.8,contributing,,
S210,FM091,0.8,contributing,,
S210,FM088,0.7,contributing,,
S211,FM109,0.9,contributing,,
S212,FM109,0.8,contributing,,
S213,FM110,0.9,contributing,,
S214,FM111,0.9,contributing,,
S215,FM118,0.9,contributing,,
S216,FM112,0.9,contributing,,
S217,FM113,0.9,contributing,,
S218,FM114,0.8,contributing,,
S219,FM115,0.8,contributing,,
S220,FM116,0.8,contributing,,
S221,FM117,0.8,contributing,,
S222,FM113,0.7,contributing,,
