response_pattern_id,rp_name,domain,severity_range,l1_focus,l2_focus,l3_focus,description
RP011,Espresso Extraction & Shot Quality,D03,medium-critical,"Pull a shot right now and assess it critically. Check your dose (18-20g for a double) yield (36-40g typical) and time (25-30 seconds typical). If any parameter is significantly off your grinder setting needs adjusting. Taste the espresso — is it balanced or does it taste sour (under-extracted) or bitter (over-extracted)? Every barista on shift must be able to dial in the grinder and assess shot quality.","Establish a daily espresso dial-in protocol performed every morning before service and whenever a new bag of coffee is opened. Create a shot quality log recording dose yield time and taste assessment. Train all baristas in the relationship between grind size dose and extraction time. Implement cupping sessions where the team tastes and discusses coffee together to develop their palates.","Build a coffee craft culture where espresso quality is a point of genuine pride. Invest in advanced barista training including sensory calibration and extraction theory. Participate in or host cupping events. Track your espresso consistency over time and benchmark against specialty coffee standards. Your espresso should be good enough that coffee professionals would rate it highly.",Espresso Extraction & Shot Quality
RP012,Milk Craft & Drink Presentation,D03,medium-critical,"Observe your baristas steaming milk during the next service period. Are they achieving smooth microfoam with no visible bubbles? Is the milk temperature consistent (55-65C)? Check that alternative milks are being steamed appropriately — oat milk and soy require different techniques. Assess drink presentation: are cups clean and warm? Is latte art attempted and reasonably consistent?","Develop a milk steaming training programme covering technique for full-fat semi-skimmed oat soy almond and coconut milks. Create visual standards for drink presentation including latte art expectations for each drink type. Implement a drink quality check before handoff. Train baristas on alternative milk properties and steaming requirements. Stock a comprehensive range of alternative milks based on customer demand data.","Elevate milk craft to an art form. Encourage baristas to develop their latte art skills and showcase their work on social media. Create a drink presentation standard that makes every cup Instagram-worthy. Your milk craft should be noticeably better than chain competitors and become a signature element of your cafe experience.",Milk Craft & Drink Presentation
RP013,Water Quality & Equipment Care,D03,medium-critical,"Check your water filtration system today. When was the filter last changed? Is it within the manufacturer's recommended service interval? Poor water quality affects espresso extraction and damages equipment. Run a TDS (total dissolved solids) test — ideal range for espresso is 75-150 ppm. Check your espresso machine backflushing schedule and grinder cleaning routine.","Implement a water quality monitoring programme with regular TDS testing and filter change scheduling. Create a daily weekly and monthly equipment maintenance calendar covering backflushing grinder cleaning steam wand purging and drip tray emptying. Schedule professional machine servicing every 6-12 months. Document all maintenance activities in a log.","Your water quality and equipment care should protect your investment and ensure consistent coffee quality. Track equipment performance metrics and maintenance costs. Build relationships with your equipment suppliers and service engineers. Invest in the best filtration system your budget allows — it pays for itself in equipment longevity and coffee quality.",Water Quality & Equipment Care
RP014,Food Quality & Menu Innovation,D03,medium-critical,"Taste every food item on your menu this week with fresh eyes. Is the quality consistent day to day? Are portion sizes uniform? Check your bakery and food supplier delivery quality — are you accepting items that do not meet your standards? Identify your three best-selling and three worst-selling items. Any item that is not selling or not meeting quality standards should be flagged for removal or replacement.","Develop a structured menu review process conducted quarterly. Track food item sales performance cost margins and customer feedback. Create a seasonal menu calendar that introduces new items and retires underperformers. Establish food quality standards with your suppliers including reject criteria. Conduct food supplier quality assessments annually and maintain at least two backup suppliers for key items.","Build a menu that tells your cafe's story and evolves with the seasons. Develop signature items that customers cannot get elsewhere. Create a food development programme that tests new items systematically before full launch. Your menu should balance commercial performance with creative expression and dietary inclusivity.",Food Quality & Menu Innovation
RP015,Recipe Standards & Portion Control,D03,medium-critical,"Check whether you have written recipe cards for every drink and food item on your menu. If a new barista started tomorrow could they make every drink to your standard without asking? Verify that portion sizes are consistent — weigh a few items and compare to your intended standard. Inconsistent portions erode margins and customer trust.","Create a comprehensive recipe card system covering every drink and food item on your menu. Include exact measurements pour weights ingredient lists and visual references. Implement a portion control system with scales scoops and measures at every station. Train all team members on recipe standards and conduct quarterly consistency audits. Track cost per serve for your top 20 items.","Standardisation should not kill creativity but it must ensure consistency. Your recipe system should be thorough enough that any trained barista can produce your drinks to standard while still allowing skilled baristas to express their craft. Update recipe cards whenever ingredients or methods change and review them quarterly.",Recipe Standards & Portion Control
RP016,Coffee Waste & Sustainability,D03,medium-critical,"Start tracking your coffee waste today if you are not already. How many kilos of beans do you use per day versus how many drinks you sell? What is your shot-pulling waste during dial-in? Count the number of drinks remade due to errors. Check food waste — how much unsold food are you throwing away at close? Quantify the problem before trying to solve it.","Implement a daily waste tracking system covering coffee grounds food waste milk waste and packaging. Set waste reduction targets and track progress weekly. Develop a waste reduction strategy addressing over-ordering over-production and spoilage. Explore coffee ground recycling programmes and food waste partnerships. Create a sustainability commitment statement and share it with customers.","Make sustainability a core part of your cafe identity. Implement a reusable cup incentive programme. Explore zero-waste ambitions and communicate your journey transparently. Track your environmental impact metrics and set annual improvement targets. Partner with sustainability organisations and position your cafe as a responsible local business.",Coffee Waste & Sustainability
RP017,Dietary Inclusivity & Alternative Options,D03,medium-critical,"Audit your menu for dietary inclusivity today. Can a vegan customer get a satisfying meal and drink? Can a gluten-free customer eat safely? Can a dairy-free customer have their coffee made well? If any dietary group is underserved or feels like an afterthought that is a revenue and reputation gap. Check that your alternative milk range covers at least oat soy and almond.","Develop a comprehensive dietary options strategy covering vegan vegetarian gluten-free dairy-free and other common dietary requirements. Ensure your menu clearly labels dietary suitability. Train your team to discuss dietary options knowledgeably and enthusiastically. Create dedicated dietary menus or sections that feel considered not token.","Position dietary inclusivity as a strength not an accommodation. Develop signature vegan and gluten-free items that are genuinely excellent not compromises. Market your dietary options proactively and ensure your online presence reflects your inclusivity. Your cafe should be a destination for dietary-restricted customers not just tolerable.",Dietary Inclusivity & Alternative Options
RP018,Staff Retention & Engagement,D04,medium-critical,"Check your staff turnover rate for the past 12 months. If you have lost more than 30% of your team something is systemically wrong. Conduct informal one-to-one conversations with every team member this week to understand their satisfaction engagement and concerns. Identify your flight risks — who is most likely to leave next and why?","Develop a staff retention strategy addressing the top three reasons baristas leave: pay progression opportunity and work-life balance. Implement a structured engagement programme including regular one-to-ones team social events and recognition. Create a compensation review process benchmarked against local hospitality market rates. Conduct exit interviews for every leaver and analyse the data for patterns.","Build a workplace culture where people want to stay and grow. Your cafe should be known locally as a great place to work. Track engagement alongside turnover and invest in the relationship between the two. The best cafes retain their baristas for years not months — aim for that standard.",Staff Retention & Engagement
RP019,Onboarding & Barista Training,D04,medium-critical,"Review your current induction process. Does a new starter receive a structured first week covering food safety coffee training till operation and customer service standards? Or are they thrown in and expected to learn on the job? If there is no written induction plan create one this week. Ensure every new starter is paired with an experienced barista for their first five shifts.","Build a structured barista training programme with clear milestones and assessment criteria. Create a training manual covering all core skills from espresso extraction to food preparation to customer interaction. Implement a mentorship system where experienced baristas guide new starters. Develop a barista certification system with levels that link to pay progression.","Create a learning culture where continuous skill development is valued and supported. Offer advanced training opportunities including external courses competitions and supplier-led sessions. Your training programme should be thorough enough that your baristas could work at any specialty cafe. Make training investment a retention tool and a recruitment attraction.",Onboarding & Barista Training
RP020,Team Communication & Meetings,D04,medium-critical,"Are you holding daily team briefings before each shift? If not start tomorrow. A 5-minute huddle covering the day's targets any specials or changes and any issues from yesterday transforms team alignment. Check whether you have a weekly team meeting — if not schedule one. Communication gaps create errors waste and frustration.","Implement a structured communication framework: daily pre-shift briefings weekly team meetings and monthly all-hands sessions. Create agenda templates for each format. Establish a digital communication channel (WhatsApp group or similar) for operational updates. Develop a rota publication policy ensuring at least two weeks advance notice. Track meeting attendance and action completion.","Build a communication culture where information flows freely and everyone feels heard. Your team should understand the cafe's goals challenges and successes. Use meetings as opportunities for recognition and skill sharing not just task allocation. Excellent communication is the foundation of team performance.",Team Communication & Meetings
RP021,Performance Management & Career Development,D04,medium-critical,"When did you last formally review each team member's performance? If you have never conducted performance reviews start with informal feedback conversations this week. Identify each team member's strengths development needs and aspirations. Check whether there is any career progression pathway defined — can a barista see how to progress to senior barista shift lead or supervisor?","Create a performance review framework with quarterly check-ins and annual formal reviews. Develop a career progression pathway with clear criteria for advancement from barista to senior barista to shift supervisor. Build a skills matrix showing each team member's competency across all required skills. Link performance and skill development to pay progression.","Foster a development culture where growth is expected and supported. Your career pathway should be attractive enough to compete with hospitality chains for talent. Encourage team members to develop specialist skills — coffee roasting cupping food development social media — that benefit both them and the cafe.",Performance Management & Career Development
RP022,Key Person Risk & Cross-Training,D04,medium-critical,"Identify your key person dependencies today. Who is the only person who can do the banking the ordering the espresso machine maintenance or the rota? What happens if they are ill for two weeks or resign? If the answer is chaos you have a critical vulnerability. Start documenting their knowledge this week.","Implement a cross-training programme ensuring at least two people can perform every critical function. Create a skills coverage matrix showing who can cover what and identifying gaps. Develop an absence cover protocol with emergency contact procedures and minimum staffing requirements. Document all key processes in a simple operations manual accessible to the whole team.","Build organisational resilience through deep cross-training and knowledge sharing. No single person's departure should threaten your cafe's operation. Create a knowledge capture system where processes are documented and regularly updated. Your team's collective capability should exceed any individual's contribution.",Key Person Risk & Cross-Training
RP023,Owner Role & Leadership Development,D04,medium-critical,"If you are the owner and you are working every shift making every decision and handling every problem you are the bottleneck. Block out two hours of protected management time this week — away from the bar away from customers — for planning and strategic thinking. Identify the three tasks you do that someone else could be trained to do and start delegating them.","Define your role as owner clearly distinguishing between working IN the business and working ON it. Create a delegation plan transferring operational tasks to trained team members. Develop your leadership skills through training coaching or peer groups. Establish protected management time as a non-negotiable weekly commitment. Build a leadership pipeline by developing your shift leads.","Evolve from operator to leader. Your cafe should run smoothly when you are not there — if it cannot your systems and team are not strong enough. Invest in your own development as a business leader. Build a leadership team that shares your vision and can make decisions autonomously. Your wellbeing and sustainability as an owner is critical to the business.",Owner Role & Leadership Development
RP024,Peak Staffing & Rush Management,D05,medium-critical,"Review your staffing levels against your transaction data for the past four weeks. Are you adequately staffed during peak hours (typically 7-10am and 12-2pm)? If ticket times exceed 5 minutes during peak you are either understaffed or your workflow is broken. Observe your team during the next morning rush and identify every point of delay or confusion.","Create a data-driven staffing model showing the optimal number of team members for each hour based on historical transaction volumes. Design role assignments for peak periods — dedicated till barista food prep and runner positions. Develop a mise-en-place checklist ensuring everything is prepared before the rush begins. Implement pre-rush routines that start 30 minutes before peak.","Master the morning rush. Your peak period should feel like a well-rehearsed performance — fast energised and controlled. Track peak period metrics daily and continuously optimise. Study the best high-volume cafes and learn from their workflows. Your team should anticipate demand not react to it.",Peak Staffing & Rush Management
RP025,Workflow Layout & Station Design,D05,medium-critical,"Stand behind your counter during a busy period and watch the workflow. Where do people collide? Where do they wait? Where do they walk unnecessarily? Map the physical journey of a cup from order to handoff and count the steps. If your barista is taking more than three steps to complete a drink your layout needs attention. Check that all frequently used items are within arm's reach.","Conduct a formal workflow audit mapping movement patterns during peak service. Redesign station layouts to minimise movement and eliminate crossover. Implement the 3-step rule: every item needed for a drink should be within three steps of the espresso machine. Ensure equipment placement supports a logical left-to-right workflow. Address equipment reliability issues that cause workflow disruption.","Optimise your workspace like a kitchen brigade — every station designed for efficiency and every tool placed for speed. Review and refine your layout seasonally as your menu and service patterns evolve. Invest in equipment and layout changes that measurably improve throughput. Your workflow should be smooth enough that a new team member can follow it intuitively.",Workflow Layout & Station Design
RP026,Daily Routines & Shift Handover,D05,medium-critical,"Do you have written opening and closing checklists? If not create them today covering every task from unlocking the door and switching on equipment to cashing up and setting the alarm. Check whether shift handovers include a structured information transfer — what happened during the shift what needs attention and what is prepared for tomorrow.","Develop comprehensive opening mid-shift and closing checklists with sign-off requirements. Create a shift handover protocol including a written handover note template. Implement a daily reconciliation process covering cash stock levels waste and any incidents. Train all shift-capable team members on the full opening and closing procedure. Conduct quarterly reviews of your routines to ensure they remain current.","Your daily routines should run like clockwork. Every shift should start and end consistently regardless of who is working. Build a culture where checklists are respected not resented. Your operational rhythm should be so reliable that you can identify anomalies immediately when something is not right.",Daily Routines & Shift Handover
RP027,Stock Management & Par Levels,D05,medium-critical,"Check your stock levels right now. Do you know exactly what you have? Are you running out of key items during service or over-ordering and creating waste? If stock management is reactive — ordering when you run out — switch to a par level system this week. Define minimum quantities for your top 20 items and reorder when stock drops below the par level.","Implement a par level stock management system for all key ingredients and supplies. Create a stock check schedule — daily for perishables weekly for dry goods monthly for non-food items. Establish reorder points and preferred quantities for each supplier. Implement a FIFO (first in first out) rotation system in all storage areas. Track stock variance to identify waste theft or over-portioning.","Build a stock management system that minimises waste maximises freshness and protects margins. Use POS data to forecast demand and adjust ordering accordingly. Automate reordering where possible and build supplier relationships that allow flexible ordering. Your stock management should be precise enough that you can predict costs accurately.",Stock Management & Par Levels
RP028,Seating & Capacity Management,D05,medium-critical,"Observe your seating area during peak periods. Are customers struggling to find seats? Are tables occupied by single customers with laptops during your busiest lunch hour? Count your covers and compare to your transaction data — are you turning tables or are they static? If seating is a bottleneck during peak it is costing you revenue.","Develop a seating strategy that balances dine-in comfort with turnover efficiency. Create different zones — quick coffee seats community tables laptop-friendly areas and group seating. Implement a table-clearing protocol that maintains flow without rushing customers. Consider a peak-period policy for laptop users. Optimise your outdoor seating area if you have one.","Design your seating experience to support your brand and your revenue goals. Your layout should encourage the behaviour you want — quick visits during peak comfortable lingering during quiet periods. Review seating data seasonally and adjust layouts accordingly. Your seating should be a competitive advantage not an afterthought.",Seating & Capacity Management
RP029,Delivery Integration & Waste Tracking,D05,medium-critical,"If you use third-party delivery platforms assess how delivery orders affect your in-store workflow. Are delivery orders disrupting the queue for walk-in customers? Is packaging adequate? Review your waste tracking — are you logging food waste coffee waste and packaging waste daily? If not start a simple waste log today recording what is thrown away why and the estimated cost.","Integrate delivery orders into your workflow without compromising in-store service. Create a dedicated delivery preparation station if volume warrants it. Develop delivery-specific packaging standards. Implement a comprehensive waste tracking system covering food coffee milk and packaging with daily recording and weekly review. Set waste reduction targets and track progress.","Master the balance between delivery revenue and operational complexity. Your delivery integration should be seamless and your waste tracking should drive continuous improvement. Use waste data to adjust ordering portion sizes and menu offerings. Position waste reduction as both a financial and sustainability goal.",Delivery Integration & Waste Tracking
RP030,Coffee Roaster & Supplier Relationships,D06,medium-critical,"Review your coffee roaster relationship today. Are you dependent on a single roaster with no backup? What happens if they cannot supply next week? Check your milk supplier reliability and your bakery or food supplier quality. If any key supplier has let you down more than twice in the past month you need a conversation or a backup plan.","Build strategic relationships with your key suppliers moving beyond transactional purchasing. Develop a supplier assessment framework covering quality reliability price communication and ethics. Identify and qualify backup suppliers for your top three critical inputs: coffee milk and bakery goods. Create a supplier performance review schedule with annual formal assessments.","Your supplier relationships should be partnerships that add value beyond product supply. Engage with your coffee roaster on training cupping sessions and sourcing transparency. Build a supply network that is resilient diversified and aligned with your values. The best independent cafes have roaster relationships that define their identity.",Coffee Roaster & Supplier Relationships
RP031,Food Cost & Coffee Cost Control,D06,medium-critical,"Calculate your food cost percentage and coffee cost percentage for the past month. Food cost should be below 35% and coffee cost below 25% of revenue from those categories. If you do not know these numbers you cannot manage them. Pull your purchase invoices and your revenue data and calculate today. Any item costing more than 40% to produce needs immediate attention.","Implement a menu item costing system showing the exact cost and margin for every item you sell. Create a monthly cost tracking dashboard comparing food cost percentage and coffee cost percentage against targets. Develop a pricing strategy that ensures sustainable margins. Negotiate supplier terms annually and benchmark prices against alternatives. Track packaging costs separately and set reduction targets.","Master your unit economics. Every menu item should earn its place through margin contribution and customer appeal. Use cost data to drive menu engineering decisions. Build a culture of cost awareness across the team without compromising quality. Your cost management should be precise enough to detect a 1% variance week-on-week.",Food Cost & Coffee Cost Control
RP032,Inventory Management & Stock Control,D06,medium-critical,"Conduct a full stock count this week. Compare physical stock to your records or purchase history. Any significant variance indicates waste theft or recording errors. Check your FIFO compliance — is older stock being used first? Are expiry dates being checked during stock rotation? Identify any dead stock that has been sitting unused for more than 30 days.","Implement a formal inventory management system whether manual spreadsheet or software-based. Establish weekly stock count routines with documented results. Create a stock variance analysis process that investigates any discrepancy above 2%. Implement barcode scanning or digital tracking if volume warrants it. Set up automatic reorder alerts for high-turnover items.","Your inventory management should be tight enough to minimise waste prevent stockouts and protect margins. Use stock data to inform purchasing decisions and demand forecasting. Build a loss prevention culture where variance is investigated and resolved. Aim for stock accuracy above 98%.",Inventory Management & Stock Control
RP033,Ethical Sourcing & Supply Resilience,D06,medium-critical,"Check your key suppliers' ethical credentials today. Is your coffee ethically sourced — Fairtrade Rainforest Alliance Direct Trade or equivalent? Do you know where your coffee comes from and how the farmers are paid? Review your supply chain for single points of failure — what happens if your main delivery does not arrive tomorrow?","Develop an ethical sourcing policy covering coffee tea chocolate and other key ingredients. Verify supplier certifications and request chain-of-custody documentation. Build a supply chain resilience plan with contingency suppliers for all critical inputs. Create a business continuity protocol for supply disruption including communication plans and menu adaptation procedures.","Make ethical sourcing a visible part of your brand story. Share your sourcing journey with customers through menu descriptions signage and social media. Build direct or near-direct relationships with producers where possible. Your supply chain should be both resilient and responsible — a genuine competitive advantage.",Ethical Sourcing & Supply Resilience
RP034,Revenue Growth & Pricing Strategy,D07,medium-critical,"Pull your revenue per hour data for the past four weeks. Identify your most and least productive hours. Is your average transaction value (ATV) growing or stagnant? When did you last review your prices? If it has been more than 12 months your prices are almost certainly too low given ingredient and wage inflation. Compare your prices to three local competitors this week.","Implement a structured pricing review process conducted every 6-12 months. Develop an upselling programme training baristas to suggest add-ons naturally — extra shot cake with coffee larger size. Track ATV daily and set improvement targets. Create revenue targets for each shift and share them with the team. Analyse your highest-margin items and position them prominently.","Build a revenue growth culture where the team understands the connection between their service and the cafe's financial health. Your pricing should reflect your value not just your costs. Develop premium offerings that increase ATV without alienating core customers. Track revenue per hour as your primary productivity metric.",Revenue Growth & Pricing Strategy
RP035,Financial Review & Budgeting,D07,medium-critical,"When did you last review your financial performance in detail? If you cannot state your monthly revenue profit and cash position from memory you need better financial visibility. Pull your last three months of data and review trends. Check whether you have a budget or forecast for the year — if not you are flying blind.","Establish a weekly financial review ritual covering revenue costs margins and cash position. Create an annual budget broken down by month with variance analysis. Implement a financial dashboard showing key metrics updated weekly. Develop financial literacy across your shift leads so they understand the impact of waste staffing and pricing decisions.","Your financial management should give you confidence and control. Track financial KPIs monthly and review trends quarterly. Build a forecasting capability that predicts seasonal patterns and plans accordingly. Financial discipline should be embedded in daily decisions not confined to monthly reviews.",Financial Review & Budgeting
RP036,Cost Structure & Payroll Control,D07,medium-critical,"Calculate your payroll percentage — total staff costs divided by revenue. For cafes this should be between 30-40%. If it is above 40% you are either overstaffed during quiet periods or your revenue is too low. Review your cost structure: rent utilities insurance supplies. Identify your top three cost-reduction opportunities without compromising quality.","Implement a labour scheduling system that matches staffing levels to demand patterns. Create a cost structure dashboard tracking rent payroll cost-of-goods and utilities as percentages of revenue. Develop a payroll optimisation strategy using flexible scheduling split shifts and cross-training. Review all fixed costs annually and negotiate where possible.","Master your cost structure so that margin is protected without sacrificing the customer or team experience. Your payroll model should be responsive to demand while providing team members with stable predictable hours. Build a cost-conscious culture where waste in any form is identified and addressed.",Cost Structure & Payroll Control
RP037,Third-Party Delivery & Margin Protection,D07,medium-critical,"If you use delivery platforms calculate your true margin on delivery orders after commission (typically 25-35%). Many cafes lose money on delivery without realising it. Review your delivery menu — are you selling low-margin items on platforms that take 30% commission? Assess whether delivery volume justifies the margin impact.","Develop a delivery-specific pricing strategy that protects margins — delivery menu prices should be higher than in-store to offset commission. Create a delivery-only menu featuring items with the best margin profile. Explore direct ordering channels (your own website or app) that bypass platform commissions. Track delivery revenue and costs separately from in-store performance.","Build a delivery strategy that genuinely adds revenue not just sales. Your goal should be to gradually shift delivery customers to direct ordering channels where you keep the full margin. Analyse delivery data to optimise your platform presence. Delivery should be a strategic revenue stream not an unmanaged cost drain.",Third-Party Delivery & Margin Protection
RP038,Cash Handling & Reconciliation,D07,medium-critical,"Check your cash handling procedures today. Is the till counted at the start and end of every shift? Is there a documented reconciliation process? Are discrepancies investigated? If cash variance exceeds 1% of cash transactions regularly you have a control problem. Ensure at minimum a daily cash-up process with two-person verification.","Implement a formal cash handling policy covering till float preparation counting procedures variance investigation and banking routines. Create a daily cash reconciliation sheet signed by the shift lead. Set a variance tolerance (typically plus or minus £5) and investigate any breach. Implement a safe-drop procedure during shifts to minimise till risk. Train all team members on cash handling expectations.","Your cash management should be watertight. Zero variance should be the expectation not the aspiration. Build a culture where cash accuracy is a professional standard. Review your payment mix monthly — as card payments grow consider whether cash handling costs justify continuing to accept cash.",Cash Handling & Reconciliation
