tool_id,tool_name,block_id,block_name,domain,module,level,format,owner_role,description,priority,dev_phase,effort_hours,adaptability,venue_types,block_dependencies,block_state,enrichment_level,mapping_status,development_status
T011-05,COSHH Chemical Register,B011,Cleaning Schedule Protocol,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,tracker,Manager,"Register listing every cleaning chemical used on premises with product name, hazard classification, correct dilution rate, safety precautions, first aid measures, and storage requirements.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B009,enriched,gold,OK,planned
T012-02,Daily Hygiene Huddle Protocol,B012,Hygiene Culture System,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,guide,Shift Manager,"60-second protocol for the start-of-shift hygiene check: team visually scans the environment, identifies one thing to address, and commits to maintaining standards through the shift.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B009, B010, B011",enriched,gold,OK,planned
T012-03,Hygiene Scoreboard Template,B012,Hygiene Culture System,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,dashboard,Manager,"Visual display board for the staff area showing daily cleaning completion rates, weekly audit scores, and hygiene champion recognition. Designed to motivate through transparency.",P1,Phase 1 (Week 1-4),6,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B009, B010, B011",enriched,gold,OK,planned
T013-01,Hazard Analysis Worksheet,B013,HACCP Food Safety System,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,template,Manager,"Structured worksheet for analysing biological, chemical, and physical hazards at each process step, including severity, likelihood, and control measures.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B001, B005, B009",enriched,gold,OK,planned
T014-01,Daily CCP Monitoring Record,B014,Critical Control Point Monitoring,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,checklist,Shift Lead,"Consolidated daily form capturing every CCP check: date, time, CCP name, critical limit, actual reading, pass/fail, corrective action if needed, and initials.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B013,enriched,gold,OK,planned
T014-02,CCP Corrective Action Guide,B014,Critical Control Point Monitoring,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,guide,All Staff,"Laminated step-by-step guide posted at each CCP location, detailing immediate actions when a critical limit is breached, including assessment, food disposal decisions, and documentation.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B013,enriched,gold,OK,planned
T015-01,Approved Supplier Register,B015,Supplier Due Diligence,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,tracker,Manager,"Central register listing every approved supplier with company details, products supplied, food safety credentials, documentation held, approval date, and next review date.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B013,enriched,gold,OK,planned
T015-02,Delivery Inspection Checklist,B015,Supplier Due Diligence,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,checklist,Kitchen Lead,"Checklist for inspecting every delivery on arrival: temperature compliance, packaging integrity, use-by dates, product condition, correct quantities, and delivery documentation.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B013,enriched,gold,OK,planned
T016-01,Food Safety Document Inventory Checklist,B016,Food Safety Record-Keeping,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,checklist,Manager,"Complete inventory of all required food safety documents, showing what should be in the file, its current status (present/missing/out of date), and the action needed.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B013, B014",enriched,gold,OK,planned
T017-01,Monthly Food Safety Quick Audit,B017,Internal Food Safety Self-Assessment,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,checklist,Manager,"Simplified monthly audit checklist covering key FHRS criteria: food storage, preparation, cooking, hygiene, cleaning, documentation, structure, and management controls.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B016,enriched,gold,OK,planned
T017-03,Self-Assessment Action Plan Template,B017,Internal Food Safety Self-Assessment,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,template,Manager,"Template for documenting actions arising from self-assessments: issue identified, priority rating, action required, responsible person, deadline, and completion confirmation.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B016,enriched,gold,OK,planned
T018-01,EHO Inspection Quick-Ready Checklist,B018,EHO Inspection Readiness,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,checklist,Manager,"One-page rapid readiness checklist the manager can run through in 10 minutes to confirm the cafe is inspection-ready: documentation, temperatures, cleaning, storage, hygiene, and staff standards.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B016, B017",enriched,gold,OK,planned
T019-01,Staff Training Status Tracker,B019,Food Safety Training Plan,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,tracker,Manager,"Central tracker listing every team member with their Level 2 certification status, certificate details, expiry/refresh date, induction completion, and any additional training completed.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B017,enriched,gold,OK,planned
T019-02,New Starter Food Safety Induction Checklist,B019,Food Safety Training Plan,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,checklist,Manager,"Checklist of essential food safety knowledge every new starter must receive before handling food: handwashing, uniform, illness reporting, allergens, temperatures, and escalation procedures.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B017,enriched,gold,OK,planned
T020-01,Food Safety Block Maturity Assessment,B020,Food Safety Excellence Programme,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,assessment,Owner,"Comprehensive assessment tool rating the implementation status of every food safety block (B001-B019) on a four-point scale: Not Started, In Progress, Implemented, Embedded.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B012, B016, B019",enriched,gold,OK,planned
T020-02,Food Safety Excellence Roadmap Template,B020,Food Safety Excellence Programme,D01_food_safety,M01: Food Safety & Hygiene Compliance,L1,template,Manager,"Prioritised roadmap template showing which blocks to implement in what order, target dates, dependencies, resource requirements, and progress tracking.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B012, B016, B019",enriched,gold,OK,planned
T085-01,Hourly Transaction Analysis Template,B085,Peak Staffing Model,D05_operations_workflow,M05: Service Flow & Peak Management,L1,tracker,Manager,"Spreadsheet template for extracting and visualising EPOS transaction data by hour and day of week, identifying peak, moderate, and quiet trading periods with clear visual patterns.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B086,enriched,gold,OK,planned
T085-02,Daily Staffing Template,B085,Peak Staffing Model,D05_operations_workflow,M05: Service Flow & Peak Management,L1,template,Manager,"Hour-by-hour staffing requirement template showing the number of staff needed per role (barista, till, floor, kitchen) based on predicted transaction volumes for each trading period.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B086,enriched,gold,OK,planned
T086-01,Morning Rush Observation Sheet,B086,Morning Rush Workflow,D05_operations_workflow,M05: Service Flow & Peak Management,L1,template,Manager,"Structured observation template for timing key service intervals during the morning rush: queue-to-order, order-to-start, start-to-handoff. Includes space for noting bottlenecks and wasted motion.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B085, B087",enriched,gold,OK,planned
T086-03,Rush Role Assignment Cards,B086,Morning Rush Workflow,D05_operations_workflow,M05: Service Flow & Peak Management,L1,checklist,Shift Lead,"Laminated cards for each rush role (Till, Bar, Support, Floater) describing that role's responsibilities, position, communication duties, and what not to do during peak service.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B085, B087",enriched,gold,OK,planned
T087-01,Pre-Rush Preparation Checklist,B087,Pre-Rush Mise-en-Place,D05_operations_workflow,M05: Service Flow & Peak Management,L1,checklist,Shift Lead,"Comprehensive station-by-station checklist covering every item that must be in position before the morning rush: bar supplies, till setup, food display, floor readiness, and support stock levels.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B086,enriched,gold,OK,planned
T088-01,Daily Peak Data Collection Sheet,B088,Peak Performance Analysis,D05_operations_workflow,M05: Service Flow & Peak Management,L1,template,Shift Lead,"Simple A5 sheet for capturing four core peak metrics during or immediately after the morning rush: throughput count, service time samples, remakes tally, and maximum queue length with walkaway observations.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B085, B086, B087",enriched,gold,OK,planned
T089-01,Cafe Floor Plan Template,B089,Workflow Layout Audit,D05_operations_workflow,M05: Service Flow & Peak Management,L1,template,Owner,"Graph paper or digital template for drawing the cafe's physical layout showing all equipment, counters, services, and movement paths. Includes a legend for role-specific path colours and annotation symbols.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B090,enriched,gold,OK,planned
T089-02,Workflow Observation Sheet,B089,Workflow Layout Audit,D05_operations_workflow,M05: Service Flow & Peak Management,L1,template,Manager,"Structured observation template for recording movement waste during a rush: instances of waiting, walking, blocking, collisions, and reversing. Includes a tally format and space for notes.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B090,enriched,gold,OK,planned
T090-01,Station Reach Envelope Analysis,B090,Station Design Optimisation,D05_operations_workflow,M05: Service Flow & Peak Management,L1,template,Head Barista,"Template for mapping the reach envelope at each station, listing all items used during service and categorising them as within reach (keep), outside reach but frequently used (move closer), or rarely used (remove from station).",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B089,enriched,gold,OK,planned
T091-01,Workflow Improvement Suggestion Card,B091,Workflow Excellence,D05_operations_workflow,M05: Service Flow & Peak Management,L1,template,All Staff,"Simple card for any team member to submit a workflow improvement idea: what they observed, what they suggest changing, what impact they expect, and any risks. Can be submitted physically or digitally.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B089, B090",enriched,gold,OK,planned
T091-02,Improvement Log,B091,Workflow Excellence,D05_operations_workflow,M05: Service Flow & Peak Management,L1,tracker,Manager,"Running log of every workflow improvement idea submitted, trialled, and decided upon, with columns for idea description, submitter, trial dates, measured impact, decision (adopt/modify/abandon), and SOP update status.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B089, B090",enriched,gold,OK,planned
T092-01,Daily Opening Checklist,B092,Opening Checklist,D05_operations_workflow,M05: Service Flow & Peak Management,L1,checklist,Shift Lead,"Comprehensive A4 checklist covering Safety, Equipment, Compliance, Stock, Cleanliness, and Customer Readiness categories with tick boxes, opener name, date, time of completion, and signature.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B093,enriched,gold,OK,planned
T093-01,Daily Closing Checklist,B093,Closing Checklist,D05_operations_workflow,M05: Service Flow & Peak Management,L1,checklist,Shift Lead,"Laminated A4 checklist covering all closing tasks grouped by zone: Front of House, Bar, Kitchen/Prep, Cash & Admin, and Security. Includes tick boxes, sign-off line, date, and time of completion.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B092,enriched,gold,OK,planned
T094-01,Shift Handover Log,B094,Shift Handover System,D05_operations_workflow,M05: Service Flow & Peak Management,L1,template,Shift Lead,"A4 template with sections for key issues, equipment status, stock alerts, customer notes, outstanding tasks, and priorities for the next shift. Signed by both outgoing and incoming shift leads.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B092, B093",enriched,gold,OK,planned
T095-01,Par Level Calculation Worksheet,B095,Par-Level Stock Management,D05_operations_workflow,M05: Service Flow & Peak Management,L1,template,Manager,"Spreadsheet template for calculating par levels for every stock item based on average daily usage, delivery frequency, and safety buffer. Includes columns for item name, category, daily usage, lead time, calculated par, and review date.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B096,enriched,gold,OK,planned
T095-03,Par Level Shelf Labels,B095,Par-Level Stock Management,D05_operations_workflow,M05: Service Flow & Peak Management,L1,checklist,All Staff,"Printable labels showing the par level for each stock item, designed to be affixed to shelves, fridges, and storage areas so any team member can instantly see whether stock needs reordering.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B096,enriched,gold,OK,planned
T096-01,Quick Check Card,B096,Mid-Service Stock Check,D05_operations_workflow,M05: Service Flow & Peak Management,L1,checklist,Shift Lead,"Laminated A5 card listing the 15-20 items most likely to run out during service, with tick boxes for OK/Low/Out status. Designed for a 5-7 minute walkthrough of all service areas.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B095,enriched,gold,OK,planned
T097-01,Daily Waste Log,B097,Stock Management Excellence,D05_operations_workflow,M05: Service Flow & Peak Management,L1,tracker,All Staff,"Simple recording sheet placed next to the waste bin for staff to log every discarded item with quantity, estimated value, and reason (expired, over-produced, damaged, returned). Totalled daily by the closing team.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B095, B096",enriched,gold,OK,planned
T098-01,Table Turnover Observation Sheet,B098,Seating Turnover Strategy,D05_operations_workflow,M05: Service Flow & Peak Management,L1,tracker,Manager,"Data collection sheet for recording dwell time, clearing time, and reset time for each table over a representative trading day. Used to establish baseline turnover metrics.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B099,enriched,gold,OK,planned
T099-01,Peak Period Observation Sheet,B099,Peak Capacity Management,D05_operations_workflow,M05: Service Flow & Peak Management,L1,tracker,Manager,"Data collection sheet for recording customer volumes by 15-minute intervals, queue lengths, service times, and walkaway counts during peak periods over a representative week.",P1,Phase 1 (Week 1-4),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B098,enriched,gold,OK,planned
T100-01,Seating Audit Worksheet,B100,Seating Experience Optimisation,D05_operations_workflow,M05: Service Flow & Peak Management,L1,template,Manager,"Table-by-table audit template recording table number, size, furniture type, power access, natural light, average dwell time, and observed customer preference patterns.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B098, B099",enriched,gold,OK,planned
T102-01,Packaging Assembly Guide,B102,Delivery Packaging Standards,D05_operations_workflow,M05: Service Flow & Peak Management,L1,checklist,All Staff,"Laminated visual guide showing which container, lid, label, and bag to use for each delivery menu item, with assembly instructions and photos for consistent order packaging.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B101,enriched,gold,OK,planned
T103-01,Delivery Platform Audit Template,B103,Delivery Channel Strategy,D05_operations_workflow,M05: Service Flow & Peak Management,L1,template,Owner,"Audit template for evaluating each delivery platform's performance: weekly orders, average order value, commission rate, platform rating, promotional spend, and estimated net margin.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B101, B102",enriched,gold,OK,planned
T179-01,Master Daily Prep List,B179,Daily Prep List Protocol,D05_operations_workflow,M14: Operational Rhythm & Daily Discipline,L1,checklist,Head Barista,"Comprehensive opening preparation checklist organised into four categories — food prep, beverage prep, station setup, housekeeping — with each task showing estimated time, responsible role, and completion deadline. Designed for lamination and daily sign-off.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B092,enriched,gold,OK,planned
T180-01,Daily Equipment Maintenance Checklist,B180,Machine Maintenance Log,D05_operations_workflow,M14: Operational Rhythm & Daily Discipline,L1,checklist,Head Barista,"Single A4 checklist covering daily maintenance tasks for every critical piece of cafe equipment — espresso machine, grinder, dishwasher, fridges, and ancillary machines. Includes task description, responsible role, and daily sign-off space.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B152,enriched,gold,OK,planned
T181-01,Daily Waste Log Sheet,B181,Waste Log & Reconciliation,D05_operations_workflow,M14: Operational Rhythm & Daily Discipline,L1,checklist,All Staff,"A4 printable log with columns for date, time, item, category, quantity, unit cost, total cost, reason, and staff initials. Stationed at each waste point for real-time logging throughout every shift.",P1,Phase 1 (Week 1-4),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B057, B179",enriched,gold,OK,planned
T181-02,Waste Category Reference Guide,B181,Waste Log & Reconciliation,D05_operations_workflow,M14: Operational Rhythm & Daily Discipline,L1,reference,All Staff,"Laminated quick-reference card defining each waste category with examples, placed next to waste log stations to ensure consistent categorisation across all staff.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B057, B179",enriched,gold,OK,planned
T182-01,Daily Operational Dashboard Template,B182,Operational Rhythm Dashboard,D05_operations_workflow,M14: Operational Rhythm & Daily Discipline,L1,dashboard,Manager,"A3 printable template displaying seven core KPIs with targets, actuals, variance, and green/amber/red status indicators. Completed daily by the closing manager.",P1,Phase 1 (Week 1-4),6,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B179, B180, B181",enriched,gold,OK,planned
T182-02,Dashboard Metrics Definition Guide,B182,Operational Rhythm Dashboard,D05_operations_workflow,M14: Operational Rhythm & Daily Discipline,L1,reference,Manager,"Reference document defining each dashboard metric, its calculation method, data source, target-setting rationale, and threshold definitions for green/amber/red status.",P1,Phase 1 (Week 1-4),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B179, B180, B181",enriched,gold,OK,planned
T203-01,Drive-Through Workflow Map,B203,Drive-Through Workflow,D05_operations_workflow,M05: Service Flow & Peak Management,L1,template,Manager,"Visual process diagram showing every step in the drive-through journey: approach, order point, payment, preparation, assembly, handoff, and departure, with role assignments and timing targets at each stage.",P1,Phase 1 (Week 1-4),3,medium,Drive-through,B086,enriched,gold,OK,planned
T203-02,Drive-Through Position Guide,B203,Drive-Through Workflow,D05_operations_workflow,M05: Service Flow & Peak Management,L1,SOP,Manager,"Role-by-role guide for each drive-through station: order taker, barista, food assembler, payment handler, and window runner. Covers responsibilities, communication protocols, and peak-period escalation.",P1,Phase 1 (Week 1-4),5,medium,Drive-through,B086,enriched,gold,OK,planned
T204-01,Kiosk Workflow Layout Planner,B204,Kiosk Operations,D05_operations_workflow,M05: Service Flow & Peak Management,L1,template,Owner,"Floor plan template for mapping equipment, storage, and movement paths within a compact kiosk footprint. Includes reach-zone analysis and step-count optimisation for the primary operator position.",P1,Phase 1 (Week 1-4),3,medium,"Kiosk, Mobile/Van",B089,enriched,gold,OK,planned
T204-02,Kiosk Opening and Closing Checklist,B204,Kiosk Operations,D05_operations_workflow,M05: Service Flow & Peak Management,L1,checklist,All Staff,"Site-specific checklist covering equipment startup, stock check, milk prep, till float, and cleanliness for opening, plus shutdown, stock count, waste recording, cleaning, and security for closing.",P1,Phase 1 (Week 1-4),2,medium,"Kiosk, Mobile/Van",B089,enriched,gold,OK,planned
T205-01,Van Setup and Teardown Checklists,B205,Coffee Van Operations,D05_operations_workflow,M05: Service Flow & Peak Management,L1,checklist,Owner,"Step-by-step laminated checklists for van deployment and pack-down: vehicle positioning, utility connections, equipment startup sequence, stock staging, and reverse for teardown including waste disposal.",P1,Phase 1 (Week 1-4),2,medium,Mobile/Van,B204,enriched,gold,OK,planned
T205-05,Licence and Compliance Register,B205,Coffee Van Operations,D05_operations_workflow,M05: Service Flow & Peak Management,L1,tracker,Owner,"Register of all licences, permits, and certificates with issue dates, expiry dates, renewal reminders, and responsible authority contact details. Covers street trading consents, food registration, insurance, gas, and electrical safety.",P1,Phase 1 (Week 1-4),4,medium,Mobile/Van,B204,enriched,gold,OK,planned
